image,label,nodule_id,split,image_type
"[[0.55686277 0.56078434 0.54901963 ... 0.04705882 0.04705882 0.0627451 ]
 [0.58039218 0.58039218 0.56862748 ... 0.03529412 0.04705882 0.05882353]
 [0.60392159 0.60784316 0.60392159 ... 0.03921569 0.05882353 0.06666667]
 ...
 [0.64705884 0.66666669 0.65098041 ... 0.07058824 0.06666667 0.07450981]
 [0.66274512 0.66666669 0.65882355 ... 0.14117648 0.10588235 0.12941177]
 [0.65882355 0.66274512 0.68235296 ... 0.13333334 0.12156863 0.16862746]]",2.0,1240.0,train,original
"[[0.2623632  0.25746688 0.26503131 ... 0.11384019 0.1127011  0.1133949 ]
 [0.29339409 0.28069562 0.27123755 ... 0.10944598 0.11539021 0.11724143]
 [0.29355574 0.29786983 0.29496193 ... 0.1009523  0.1041669  0.09917393]
 ...
 [0.58213562 0.60976732 0.62039936 ... 0.04343213 0.0477245  0.04971195]
 [0.59990919 0.60234946 0.6104849  ... 0.05536275 0.04859991 0.04923442]
 [0.58032012 0.6173507  0.59374934 ... 0.04475581 0.05072095 0.05343459]]",2.0,1240.0,train,reconstructed
"[[0.53655696 0.5172929  0.59668636 ... 0.6823367  0.73949414 0.69981545]
 [0.5572478  0.60485125 0.625819   ... 0.6753258  0.6240816  0.64229417]
 [0.54517    0.5509608  0.5038572  ... 0.6569711  0.66893315 0.68075854]
 ...
 [0.42821524 0.46763527 0.42143297 ... 0.04759531 0.0359214  0.0494124 ]
 [0.4177068  0.45432335 0.47221747 ... 0.03811605 0.03240094 0.032694  ]
 [0.35576293 0.46603224 0.34937888 ... 0.03425185 0.03038561 0.06598408]]",2.0,1240.0,train,augmented
"[[1.3679237e-02 1.1461014e-02 7.7136341e-03 ... 1.4904357e-04
  1.5250884e-04 1.9169343e-04]
 [2.0215075e-02 1.1757386e-02 1.2275744e-02 ... 2.3678466e-04
  2.5165567e-04 2.0623438e-04]
 [1.0622005e-02 5.7766326e-03 4.1358764e-03 ... 1.5734846e-04
  1.5662651e-04 1.0068049e-04]
 ...
 [5.3242028e-01 6.0182226e-01 3.9695820e-01 ... 3.8231794e-02
  8.0366418e-02 3.2186318e-02]
 [5.4815567e-01 4.9619141e-01 4.8719889e-01 ... 6.4220905e-02
  4.1045569e-02 2.5716495e-02]
 [3.7139142e-01 5.3564233e-01 4.2171976e-01 ... 4.7082372e-02
  7.6775432e-02 5.7396464e-02]]",2.0,1240.0,train,augmented
"[[2.2159562e-02 1.9883348e-02 1.4294632e-02 ... 4.2113886e-04
  4.3705123e-04 5.2884221e-04]
 [3.2394201e-02 2.0580316e-02 2.1280020e-02 ... 6.3974265e-04
  6.8247004e-04 5.7054573e-04]
 [1.8709049e-02 1.1525846e-02 8.5071232e-03 ... 4.3524243e-04
  4.4687622e-04 2.9799057e-04]
 ...
 [5.4334223e-01 6.1158651e-01 4.2921773e-01 ... 4.1764755e-02
  8.0718338e-02 3.6280196e-02]
 [5.6518984e-01 5.0721657e-01 5.0063199e-01 ... 6.5459043e-02
  4.6178162e-02 2.9860416e-02]
 [4.0260243e-01 5.6027842e-01 4.5337975e-01 ... 5.0768368e-02
  7.8501754e-02 5.9618194e-02]]",2.0,1240.0,train,augmented
"[[0.68235296 0.69803923 0.72156864 ... 0.         0.00392157 0.01176471]
 [0.68235296 0.68235296 0.6901961  ... 0.         0.         0.00392157]
 [0.68627453 0.65882355 0.67058825 ... 0.         0.         0.00392157]
 ...
 [0.74117649 0.74901962 0.76862746 ... 0.04705882 0.04313726 0.04705882]
 [0.73725492 0.7764706  0.77254903 ... 0.03529412 0.03921569 0.07450981]
 [0.75686276 0.80784315 0.80392158 ... 0.05098039 0.05882353 0.07843138]]",2.0,2317.0,train,original
"[[0.60692191 0.59709477 0.58355743 ... 0.05917911 0.05204159 0.06059586]
 [0.56470692 0.60311747 0.60393566 ... 0.05675188 0.04606111 0.05478545]
 [0.60194087 0.57450378 0.58080447 ... 0.04874674 0.05515989 0.04955157]
 ...
 [0.6238485  0.61155009 0.63315773 ... 0.04557072 0.04613705 0.044104  ]
 [0.62551755 0.62853491 0.64030081 ... 0.0470061  0.05021599 0.05034914]
 [0.61216575 0.62198365 0.62597322 ... 0.04301155 0.04113351 0.05597676]]",2.0,2317.0,train,reconstructed
"[[0.572098   0.51080054 0.5463128  ... 0.5397366  0.57472515 0.5025261 ]
 [0.60354775 0.60716504 0.66137886 ... 0.5490133  0.48582038 0.4814582 ]
 [0.6002904  0.52885175 0.50923353 ... 0.40526876 0.48749208 0.42927575]
 ...
 [0.3618291  0.42743245 0.36032555 ... 0.02943681 0.02880419 0.02608104]
 [0.33421713 0.3398887  0.41141453 ... 0.02504185 0.02323254 0.02143323]
 [0.2764231  0.4202216  0.2543395  ... 0.03037324 0.01876211 0.04401824]]",2.0,2317.0,train,augmented
"[[5.53520508e-02 5.39874658e-02 4.44730036e-02 ... 6.63775209e-05
  7.50092076e-05 7.43326091e-05]
 [8.30855370e-02 5.97992912e-02 5.27401231e-02 ... 8.42669688e-05
  1.00390585e-04 9.26530338e-05]
 [4.58476469e-02 2.33495794e-02 1.94438528e-02 ... 6.14737219e-05
  6.87462161e-05 3.93423616e-05]
 ...
 [7.18913376e-01 7.39861488e-01 6.55505121e-01 ... 3.74409035e-02
  6.78870380e-02 4.55194600e-02]
 [7.42409468e-01 7.27971137e-01 7.64377415e-01 ... 8.43408406e-02
  3.58606502e-02 3.81854698e-02]
 [6.29085481e-01 6.96971714e-01 6.52470171e-01 ... 5.92683963e-02
  8.14043507e-02 6.69463649e-02]]",2.0,2317.0,train,augmented
"[[8.8912062e-02 9.1003701e-02 7.8918308e-02 ... 1.8723904e-04
  2.0366200e-04 2.0511502e-04]
 [1.2922630e-01 1.0395787e-01 9.1209747e-02 ... 2.2286086e-04
  2.5780749e-04 2.4650746e-04]
 [8.2242355e-02 4.6955775e-02 4.0418532e-02 ... 1.7160033e-04
  1.8319095e-04 1.1225283e-04]
 ...
 [7.1912903e-01 7.3858809e-01 6.7194998e-01 ... 4.0725980e-02
  6.4013071e-02 4.7960084e-02]
 [7.4274743e-01 7.2898424e-01 7.6427931e-01 ... 8.3213642e-02
  3.9560150e-02 4.2822976e-02]
 [6.5496618e-01 7.0474076e-01 6.7241472e-01 ... 6.2629260e-02
  7.5726181e-02 6.5492228e-02]]",2.0,2317.0,train,augmented
"[[0.06666667 0.04705882 0.0627451  ... 0.03529412 0.05882353 0.05490196]
 [0.07058824 0.05098039 0.07058824 ... 0.04705882 0.06666667 0.07450981]
 [0.0627451  0.05490196 0.03529412 ... 0.05490196 0.05490196 0.08627451]
 ...
 [0.44313726 0.43529412 0.42352942 ... 0.44313726 0.45490196 0.45490196]
 [0.43921569 0.45490196 0.43921569 ... 0.44313726 0.43137255 0.44313726]
 [0.43137255 0.44313726 0.44705883 ... 0.42352942 0.40392157 0.41176471]]",2.0,2055.0,train,original
"[[0.1830993  0.15800829 0.15100662 ... 0.07617869 0.07619096 0.07665629]
 [0.1706333  0.15835626 0.14483933 ... 0.07696927 0.06897127 0.0795299 ]
 [0.18012325 0.18565592 0.14366385 ... 0.08146004 0.06917476 0.06967436]
 ...
 [0.36468321 0.3694596  0.37815851 ... 0.37792793 0.36818081 0.39099002]
 [0.34220332 0.36198527 0.38421547 ... 0.37291306 0.37979433 0.38192207]
 [0.34554449 0.35666627 0.3873508  ... 0.38695449 0.37732127 0.37754473]]",2.0,2055.0,train,reconstructed
"[[0.20148523 0.1672997  0.18828335 ... 0.56698227 0.6277109  0.64526635]
 [0.195826   0.24359865 0.20833296 ... 0.5796876  0.595382   0.60127646]
 [0.19317625 0.20625849 0.17337836 ... 0.50159043 0.5523948  0.547448  ]
 ...
 [0.17401122 0.2357289  0.1718397  ... 0.22759603 0.2552659  0.23021983]
 [0.20734696 0.17071764 0.19740717 ... 0.23475128 0.24021499 0.22892714]
 [0.16008027 0.22550079 0.17868781 ... 0.20945853 0.19913876 0.25350177]]",2.0,2055.0,train,augmented
"[[9.6834730e-03 5.9375525e-03 3.2194117e-03 ... 8.0368169e-05
  8.2306455e-05 7.8202109e-05]
 [1.2748454e-02 5.4912400e-03 5.7599237e-03 ... 1.1164446e-04
  9.5030904e-05 9.1820708e-05]
 [5.3467667e-03 2.6659323e-03 1.9712322e-03 ... 8.3696206e-05
  7.3680305e-05 4.1431653e-05]
 ...
 [4.2015836e-01 4.5808047e-01 3.5080150e-01 ... 3.0161840e-01
  3.9860868e-01 2.7635023e-01]
 [4.1016614e-01 4.7388586e-01 4.7307354e-01 ... 3.4608015e-01
  2.3052046e-01 1.7397340e-01]
 [2.6891059e-01 3.3435979e-01 3.4983253e-01 ... 3.4829426e-01
  3.9194947e-01 3.3932906e-01]]",2.0,2055.0,train,augmented
"[[1.6122295e-02 1.0425808e-02 6.0394644e-03 ... 2.2881255e-04
  2.2590905e-04 2.2010841e-04]
 [2.0785298e-02 9.7020511e-03 9.8736910e-03 ... 2.9862850e-04
  2.5340100e-04 2.5002626e-04]
 [9.7923987e-03 5.4196203e-03 4.1127424e-03 ... 2.3928635e-04
  2.0856506e-04 1.2317368e-04]
 ...
 [4.2469156e-01 4.6686366e-01 3.7793973e-01 ... 3.2746154e-01
  4.0822774e-01 3.0356124e-01]
 [4.2021501e-01 4.7624597e-01 4.8704326e-01 ... 3.5746840e-01
  2.6191369e-01 2.0493893e-01]
 [2.9490551e-01 3.5219005e-01 3.7892452e-01 ... 3.7233230e-01
  4.0436944e-01 3.5155204e-01]]",2.0,2055.0,train,augmented
"[[0.02745098 0.03921569 0.04313726 ... 0.01960784 0.01960784 0.02352941]
 [0.03529412 0.03529412 0.03529412 ... 0.02352941 0.02352941 0.02352941]
 [0.03137255 0.02745098 0.02745098 ... 0.03529412 0.03921569 0.04313726]
 ...
 [0.48627451 0.47450981 0.49019608 ... 0.01960784 0.02352941 0.02352941]
 [0.48627451 0.47450981 0.47843137 ... 0.01960784 0.01960784 0.01960784]
 [0.48627451 0.48627451 0.48235294 ... 0.01960784 0.01960784 0.02352941]]",2.0,1407.0,train,original
"[[0.16867232 0.15306868 0.13424303 ... 0.09362835 0.0946747  0.10505936]
 [0.14810468 0.15383217 0.12149997 ... 0.09466614 0.09643709 0.10956952]
 [0.14445753 0.137335   0.13111733 ... 0.07533429 0.08666416 0.09620565]
 ...
 [0.59268308 0.57634336 0.58975965 ... 0.09149702 0.09438733 0.10533404]
 [0.57642674 0.56789738 0.60292596 ... 0.08932159 0.10385495 0.09998024]
 [0.57672358 0.57529211 0.58289415 ... 0.09540894 0.10706453 0.11080652]]",2.0,1407.0,train,reconstructed
"[[0.21624751 0.14662099 0.15125248 ... 0.60326594 0.70756966 0.66605735]
 [0.17721227 0.2023691  0.24241328 ... 0.6984883  0.663077   0.695188  ]
 [0.17394045 0.15158112 0.14116769 ... 0.58548117 0.6156338  0.64061654]
 ...
 [0.3567801  0.35654256 0.35772288 ... 0.08114318 0.0848091  0.08077927]
 [0.2846767  0.27518994 0.3981873  ... 0.06302464 0.07061506 0.0613189 ]
 [0.26515114 0.3236018  0.27231142 ... 0.08725183 0.06188401 0.08966635]]",2.0,1407.0,train,augmented
"[[4.93973820e-03 5.02493931e-03 3.94127145e-03 ... 1.01200072e-04
  1.07291744e-04 1.21022153e-04]
 [7.06872717e-03 4.26052045e-03 2.70035677e-03 ... 9.60044126e-05
  1.75167894e-04 1.14381139e-04]
 [3.94026237e-03 2.04115175e-03 1.26481638e-03 ... 7.96059539e-05
  9.08601651e-05 7.40267351e-05]
 ...
 [6.29582703e-01 6.62627161e-01 5.11463821e-01 ... 7.28702545e-02
  1.43436179e-01 7.97328055e-02]
 [6.34380639e-01 6.30198836e-01 6.26696587e-01 ... 1.56910777e-01
  7.00001493e-02 7.23089129e-02]
 [4.49558467e-01 6.04076087e-01 5.99539399e-01 ... 8.14564452e-02
  1.39708683e-01 1.38435528e-01]]",2.0,1407.0,train,augmented
